Alpha CL Cmle Cmc4
-12.0 -1.2611055354600322 0.285412265914577 -0.02297457253101093
-10.0 -1.0049982706418377 0.21925702834710675 -0.028175493825879
-8.0 -0.7476665702389838 0.15147409086324037 -0.03362349178005766
-6.0 -0.4894239532894983 0.08239368512087848 -0.03929202429514779
-4.0 -0.23058504864291018 0.012352363912864577 -0.04515347485053044
-2.0 0.028534788366546392 -0.05830863848440843 -0.05117928704829401
0.0 0.28761986013182406 -0.12924506877007882 -0.05734010373712281
2.0 0.5463545114019716 -0.20011133178629884 -0.06360591003739124
4.0 0.8044235138594417 -0.27056217422310785 -0.06994617957064175
6.0 1.0615124501772173 -0.34025436665784514 -0.07633002318102866
8.0 1.3173080970879045 -0.4088483757344066 -0.0827263394241885
10.0 1.5714988069980518 -0.4760100183356123 -0.08910396609033305
12.0 1.823774887682706 -0.5414120896897778 -0.09543183202342664
14.0 2.0738289795976996 -0.6047359574794553 -0.10167910849671569
16.0 2.3213564303499243 -0.6656731141860693 -0.10781535940719678
